name,bpi,off,def,ppg,oppg
Houston Cougars,22.9,8.9,14.0,73.0,57.0
UConn Huskies,20.2,13.0,7.2,81.5,64.4
Purdue Boilermakers,19.6,12.9,6.7,83.4,70.2
Auburn Tigers,18.9,10.0,8.9,83.3,68.0
Arizona Wildcats,18.5,10.7,7.8,87.9,72.2
Iowa State Cyclones,18.2,6.5,11.7,75.6,61.3
Tennessee Volunteers,17.8,7.5,10.3,79.5,67.9
Duke Blue Devils,16.9,10.9,6.0,79.8,67.4
Alabama Crimson Tide,16.4,13.2,3.2,90.8,81.1
Creighton Bluejays,16.4,10.6,5.8,80.5,69.7
North Carolina Tar Heels,16.3,8.2,8.0,81.5,70.2
Illinois Fighting Illini,15.8,11.4,4.5,84.4,73.8
Baylor Bears,15.1,11.8,3.3,80.5,71.2
Marquette Golden Eagles,15.0,8.6,6.4,78.3,69.7
Saint Mary's Gaels,14.6,6.0,8.6,74.2,58.7
Gonzaga Bulldogs,14.2,10.2,4.0,84.9,69.0
BYU Cougars,13.9,9.3,4.6,81.8,69.9
Michigan State Spartans,13.7,5.3,8.3,73.1,65.9
Wisconsin Badgers,13.5,9.0,4.6,75.1,69.9
Kansas Jayhawks,13.2,5.8,7.4,75.3,68.7
Kentucky Wildcats,13.0,10.6,2.4,89.4,79.7
Texas Longhorns,12.4,7.5,4.9,76.5,69.9
Texas Tech Red Raiders,12.2,7.7,4.4,75.6,69.3
Florida Gators,12.1,8.6,3.4,85.1,78.5
TCU Horned Frogs,11.9,6.0,5.9,79.2,71.2
Mississippi State Bulldogs,11.8,4.7,7.0,74.8,69.1
Dayton Flyers,11.6,7.8,3.8,74.7,66.3
Clemson Tigers,11.6,7.5,4.1,77.4,71.3
Florida Atlantic Owls,11.3,9.5,1.8,82.5,73.3
San Diego State Aztecs,11.3,3.8,7.5,74.6,66.6
Texas A&M Aggies,11.0,6.5,4.5,74.8,70.8
Nebraska Cornhuskers,10.8,5.7,5.1,77.6,70.1
Northwestern Wildcats,10.1,6.7,3.4,73.7,69.0
Washington State Cougars,9.8,4.7,5.2,74.3,66.9
New Mexico Lobos,9.8,4.3,5.5,81.5,70.5
Colorado Buffaloes,9.6,6.2,3.4,78.7,70.7
James Madison Dukes,9.4,5.5,3.9,84.4,69.2
Boise State Broncos,9.2,5.3,4.0,75.1,67.3
Drake Bulldogs,9.0,6.3,2.7,80.5,70.5
Nevada Wolf Pack,9.0,5.1,3.9,76.4,67.1
McNeese Cowboys,8.9,5.4,3.5,80.4,61.5
NC State Wolfpack,8.8,5.7,3.0,76.4,72.7
South Carolina Gamecocks,8.8,4.4,4.3,72.0,67.0
Grand Canyon Lopes,8.6,4.7,3.9,79.8,66.9
Oregon Ducks,8.5,5.4,3.1,75.3,71.9
Colorado State Rams,8.2,5.8,2.4,76.1,67.6
Virginia Cavaliers,8.1,-0.1,8.2,62.9,59.8
Yale Bulldogs,7.9,4.2,3.7,75.2,66.6
Utah State Aggies,7.7,5.1,2.6,79.8,70.3
Vermont Catamounts,6.3,2.6,3.8,72.3,63.0
Duquesne Dukes,6.0,0.7,5.3,70.8,66.0
Samford Bulldogs,5.6,4.4,1.1,86.0,73.9
Charleston Cougars,5.5,4.8,0.7,80.5,72.5
Morehead State Eagles,5.2,2.2,3.0,75.5,62.8
Akron Zips,4.7,1.8,2.9,74.0,65.9
Colgate Raiders,4.2,0.9,3.2,71.5,63.2
UAB Blazers,3.6,3.3,0.3,77.8,75.2
Oakland Golden Grizzlies,2.2,2.5,-0.3,76.4,72.9
Longwood Lancers,1.6,0.5,1.1,75.6,67.9
South Dakota State Jackrabbits,1.1,1.9,-0.8,76.8,70.8
Western Kentucky Hilltoppers,0.7,-1.0,1.7,80.6,74.1
Long Beach State Beach,-0.6,0.5,-1.0,77.7,75.7
Stetson Hatters,-1.0,3.4,-4.4,77.5,72.8
Saint Peter's Peacocks,-1.7,-4.9,3.2,65.3,63.4
Howard Bison,-4.8,-0.5,-4.4,74.9,74.3
Wagner Seahawks,-5.3,-5.8,0.5,63.8,62.3
Montana State Bobcats,-6.1,-2.6,-3.5,75.3,74.5
Grambling Tigers,-6.3,-4.0,-2.3,68.2,69.4
