name	bpi	off	def	ppg	oppg
Houston Cougars	22.9	8.9	14.0	73.0	57.0
UConn Huskies	20.3	13.0	7.3	81.5	64.4
Purdue Boilermakers	19.6	12.8	6.8	83.4	70.2
Auburn Tigers	18.9	10.0	8.9	83.3	68.0
Arizona Wildcats	18.4	10.7	7.8	87.9	72.2
Iowa State Cyclones	18.3	6.6	11.7	75.6	61.3
Tennessee Volunteers	17.7	7.5	10.2	79.5	67.9
Duke Blue Devils	17.0	10.9	6.1	79.8	67.4
Creighton Bluejays	16.4	10.6	5.8	80.5	69.7
Alabama Crimson Tide	16.3	13.2	3.2	90.8	81.1
North Carolina Tar Heels	16.2	8.2	8.0	81.5	70.2
Illinois Fighting Illini	15.8	11.4	4.4	84.4	73.8
Baylor Bears	15.1	11.8	3.3	80.5	71.2
Marquette Golden Eagles	15.1	8.6	6.5	78.3	69.7
Saint Mary's Gaels	14.4	5.9	8.5	74.2	58.7
Gonzaga Bulldogs	14.1	10.2	4.0	84.9	69.0
BYU Cougars	14.0	9.4	4.6	81.8	69.9
Wisconsin Badgers	13.5	8.9	4.5	75.1	69.9
Michigan State Spartans	13.5	5.3	8.2	73.1	65.9
Kansas Jayhawks	13.2	5.9	7.4	75.3	68.7
Kentucky Wildcats	13.0	10.6	2.4	89.4	79.7
Texas Longhorns	12.4	7.5	4.9	76.5	69.9
Texas Tech Red Raiders	12.2	7.7	4.5	75.6	69.3
Florida Gators	12.1	8.7	3.5	85.1	78.5
TCU Horned Frogs	11.9	5.9	6.0	79.2	71.2
Clemson Tigers	11.6	7.6	4.1	77.4	71.3
Mississippi State Bulldogs	11.6	4.6	7.0	74.8	69.1
Dayton Flyers	11.4	7.7	3.7	74.7	66.3
Florida Atlantic Owls	11.2	9.5	1.8	82.5	73.3
San Diego State Aztecs	11.1	3.7	7.4	74.6	66.6
Texas A&M Aggies	11.0	6.6	4.5	74.8	70.8
Nebraska Cornhuskers	10.9	5.8	5.2	77.6	70.1
Northwestern Wildcats	10.2	6.8	3.4	73.7	69.0
Washington State Cougars	9.8	4.6	5.2	74.3	66.9
New Mexico Lobos	9.5	4.2	5.4	81.5	70.5
Colorado Buffaloes	9.4	6.4	3.0	79.3	71.2
James Madison Dukes	9.4	5.6	3.8	84.4	69.2
Boise State Broncos	9.3	5.5	3.7	75.8	67.5
McNeese Cowboys	9.0	5.4	3.5	80.4	61.5
Drake Bulldogs	8.9	6.2	2.7	80.5	70.5
Nevada Wolf Pack	8.8	5.0	3.8	76.4	67.1
South Carolina Gamecocks	8.8	4.4	4.4	72.0	67.0
Virginia Cavaliers	8.8	0.4	8.4	63.6	59.6
NC State Wolfpack	8.7	5.7	3.0	76.4	72.7
Oregon Ducks	8.5	5.4	3.1	75.3	71.9
Grand Canyon Lopes	8.5	4.7	3.8	79.8	66.9
Yale Bulldogs	7.9	4.2	3.7	75.2	66.6
Utah State Aggies	7.6	5.0	2.6	79.8	70.3
Colorado State Rams	7.3	5.4	1.9	76.4	68.4
Vermont Catamounts	6.4	2.6	3.7	72.3	63.0
Duquesne Dukes	6.0	0.7	5.3	70.8	66.0
Samford Bulldogs	5.5	4.4	1.1	86.0	73.9
Charleston Cougars	5.4	4.8	0.7	80.5	72.5
Morehead State Eagles	5.3	2.3	3.0	75.5	62.8
Akron Zips	4.7	1.7	3.0	74.0	65.9
Colgate Raiders	4.1	0.9	3.2	71.5	63.2
UAB Blazers	3.6	3.3	0.3	77.8	75.2
Oakland Golden Grizzlies	2.2	2.6	-0.3	76.4	72.9
Longwood Lancers	1.7	0.5	1.1	75.6	67.9
South Dakota State Jackrabbits	1.1	2.0	-0.8	76.8	70.8
Western Kentucky Hilltoppers	0.7	-1.0	1.7	80.6	74.1
Long Beach State Beach	-0.5	0.5	-1.1	77.7	75.7
Stetson Hatters	-0.9	3.4	-4.4	77.5	72.8
Saint Peter's Peacocks	-1.7	-4.9	3.2	65.3	63.4
Howard Bison	-4.7	-0.5	-4.2	75.1	74.4
Wagner Seahawks	-5.4	-6.0	0.5	63.5	62.1
Montana State Bobcats	-5.9	-2.7	-3.2	75.1	74.1
Grambling Tigers	-6.6	-4.4	-2.1	67.6	69.0
